Item_Code,Item_Category,Item_Name,Item_Price,Item_Img_URL
1869697,Meal Deal,Family Pan Bundle: Chicken Bucket 6Pc Combination + Spaghetti Pan - Family,603.9,NULL
1869698,Meal Deal,Family Pan Bundle: Chicken Bucket 6Pc Combination + Spaghetti Pan - Family + 6 Rice,658.9,NULL
1869699,Meal Deal,Family Pan Bundle: Chicken Bucket 6Pc Combination + Spaghetti Pan - Family + 6 Choice Of Pie,724.9,NULL
2033008,Meal Deal,Chicken Bucket 6pc Combination Promo: 6 + 1 Chickenjoy - FREE,412.5,NULL
2033009,Meal Deal,Chicken Bucket 8pc Combination Promo: 8 + 2 Chickenjoy - FREE,544.5,NULL
697321,Chicken,1-pc. Chickenjoy (Solo),82.5,https://images.deliveryhero.io/image/fd-ph/Products/697321.jpg
697320,Chicken,1-pc. Chickenjoy with Jolly Spaghetti (Solo),108.9,https://images.deliveryhero.io/image/fd-ph/Products/697320.jpg
697319,Chicken,1-pc. Chickenjoy with Palabok (Solo),165,https://images.deliveryhero.io/image/fd-ph/Products/697319.jpg
697318,Chicken,2-pc. Chickenjoy (Solo),165,https://images.deliveryhero.io/image/fd-ph/Products/697318.jpg
697317,Chicken,6-pc. Chickenjoy Bucket,412.5,https://images.deliveryhero.io/image/fd-ph/Products/697317.jpg
697316,Chicken,8-pc. Chickenjoy Bucket,544.5,https://images.deliveryhero.io/image/fd-ph/Products/697316.jpg
1095806,Chicken,1-pc. Chickenjoy (Value Meal),101.2,NULL
1095809,Chicken,1-pc. Chickenjoy with Jolly Spaghetti (Value Meal),132,NULL
1095811,Chicken,2-pc. Chickenjoy (Value Meal),180.4,NULL
1095812,Chicken,6-pc. Chickenjoy Bucket (With 3 Rice & 3 Drinks),484,NULL
1095813,Chicken,Chicken Bucket 6pc combination + 3 Choice of Side Dish + 3 Choice of Drink + 3 Extra Rice + 3 Peach Mango Pie,614.9,NULL
1095815,Chicken,Chicken Bucket 8pc combination + 4 Choice of Side Dish + 4 Choice of Drink + 4 Extra Rice + 4 Peach Mango Pie,803,NULL
1095814,Chicken,8-pc. Chickenjoy Bucket (With 4 Rice & 4 Drinks),643.5,NULL
697332,Burgers,Yum (Solo),38.5,https://images.deliveryhero.io/image/fd-ph/Products/697332.jpg
697331,Burgers,Yum Cheese Burger (Solo),49.5,https://images.deliveryhero.io/image/fd-ph/Products/697331.jpg
697330,Burgers,Yum Burger with TLC (Solo),82.5,https://images.deliveryhero.io/image/fd-ph/Products/697330.jpg
697328,Burgers,Champ (Solo),152.9,https://images.deliveryhero.io/image/fd-ph/Products/697328.jpg
697327,Burgers,Cheesy Bacon Mushroom Champ (Solo),160.6,https://images.deliveryhero.io/image/fd-ph/Products/697327.jpg
697329,Burgers,Cheesy Bacon Mushroom Yum (Solo),93.5,https://images.deliveryhero.io/image/fd-ph/Products/697329.jpg
1095797,Burgers,Yum (Value Meal),60.5,NULL
1095799,Burgers,Yum Cheese Burger (Value Meal),71.5,NULL
1390434,Burgers,Cheesy Bacon Mushroom Champ (Value Meal),203.5,NULL
697339,Rice Meals,1-pc. Burger Steak (Solo),60.5,https://images.deliveryhero.io/image/fd-ph/Products/697339.jpg
